21:12:01:16:28:03,19,"{20: 0, 19: 1, 18: 1, 17: 1, 16: 1, 15: 1, 14: 1, 13: 1, 12: 1, 11: 1, 10: 1, 9: 1, 8: 1, 7: 1, 6: 1, 5: 1, 4: 1, 3: 1, 2: 1, 1: 1}","{19: 453, 18: 419, 17: 393, 16: 347, 15: 314, 14: 279, 13: 243, 12: 226, 11: 211, 10: 192, 9: 174, 8: 169, 7: 145, 6: 124, 5: 108, 4: 89, 3: 57, 2: 43, 1: 33}"
21:12:01:16:28:03,19,"{20: 0, 19: 1, 18: 1, 17: 1, 16: 1, 15: 1, 14: 1, 13: 1, 12: 1, 11: 1, 10: 1, 9: 1, 8: 1, 7: 1, 6: 1, 5: 1, 4: 1, 3: 1, 2: 1, 1: 1}","{19: 452, 18: 420, 17: 393, 16: 347, 15: 314, 14: 278, 13: 243, 12: 226, 11: 212, 10: 192, 9: 174, 8: 169, 7: 144, 6: 124, 5: 108, 4: 89, 3: 57, 2: 43, 1: 33}"
21:12:01:16:28:04,19,"{20: 0, 19: 1, 18: 1, 17: 1, 16: 1, 15: 1, 14: 1, 13: 1, 12: 1, 11: 1, 10: 1, 9: 1, 8: 1, 7: 1, 6: 1, 5: 1, 4: 1, 3: 1, 2: 1, 1: 1}","{19: 454, 18: 420, 17: 393, 16: 347, 15: 314, 14: 278, 13: 243, 12: 226, 11: 211, 10: 192, 9: 174, 8: 169, 7: 145, 6: 124, 5: 108, 4: 89, 3: 57, 2: 43, 1: 33}"
21:12:01:16:28:04,19,"{20: 0, 19: 1, 18: 1, 17: 1, 16: 1, 15: 1, 14: 1, 13: 1, 12: 1, 11: 1, 10: 1, 9: 1, 8: 1, 7: 1, 6: 1, 5: 1, 4: 1, 3: 1, 2: 1, 1: 1}","{19: 453, 18: 419, 17: 393, 16: 347, 15: 315, 14: 279, 13: 243, 12: 227, 11: 211, 10: 192, 9: 174, 8: 168, 7: 145, 6: 124, 5: 108, 4: 89, 3: 57, 2: 44, 1: 34}"
21:12:01:16:28:04,19,"{20: 0, 19: 1, 18: 1, 17: 1, 16: 1, 15: 1, 14: 1, 13: 1, 12: 1, 11: 1, 10: 1, 9: 1, 8: 1, 7: 1, 6: 1, 5: 1, 4: 1, 3: 1, 2: 1, 1: 1}","{19: 453, 18: 419, 17: 392, 16: 347, 15: 315, 14: 279, 13: 243, 12: 227, 11: 211, 10: 192, 9: 174, 8: 168, 7: 145, 6: 124, 5: 108, 4: 89, 3: 57, 2: 44, 1: 34}"
21:12:01:16:28:04,19,"{20: 0, 19: 1, 18: 1, 17: 1, 16: 1, 15: 1, 14: 1, 13: 1, 12: 1, 11: 1, 10: 1, 9: 1, 8: 1, 7: 1, 6: 1, 5: 1, 4: 1, 3: 1, 2: 1, 1: 1}","{19: 453, 18: 419, 17: 392, 16: 347, 15: 314, 14: 279, 13: 243, 12: 227, 11: 212, 10: 192, 9: 174, 8: 169, 7: 145, 6: 124, 5: 108, 4: 89, 3: 57, 2: 43, 1: 33}"
21:12:01:16:28:04,19,"{20: 0, 19: 1, 18: 1, 17: 1, 16: 1, 15: 1, 14: 1, 13: 1, 12: 1, 11: 1, 10: 1, 9: 1, 8: 1, 7: 1, 6: 1, 5: 1, 4: 1, 3: 1, 2: 1, 1: 1}","{19: 452, 18: 420, 17: 393, 16: 347, 15: 314, 14: 278, 13: 243, 12: 226, 11: 211, 10: 192, 9: 174, 8: 169, 7: 144, 6: 124, 5: 108, 4: 89, 3: 57, 2: 43, 1: 33}"
21:12:01:16:28:04,19,"{20: 0, 19: 1, 18: 1, 17: 1, 16: 1, 15: 1, 14: 1, 13: 1, 12: 1, 11: 1, 10: 1, 9: 1, 8: 1, 7: 1, 6: 1, 5: 1, 4: 1, 3: 1, 2: 1, 1: 1}","{19: 453, 18: 420, 17: 392, 16: 347, 15: 315, 14: 279, 13: 243, 12: 227, 11: 212, 10: 192, 9: 175, 8: 168, 7: 144, 6: 124, 5: 108, 4: 89, 3: 57, 2: 43, 1: 33}"
21:12:01:16:28:04,19,"{20: 0, 19: 1, 18: 1, 17: 1, 16: 1, 15: 1, 14: 1, 13: 1, 12: 1, 11: 1, 10: 1, 9: 1, 8: 1, 7: 1, 6: 1, 5: 1, 4: 1, 3: 1, 2: 1, 1: 1}","{19: 452, 18: 419, 17: 392, 16: 347, 15: 314, 14: 279, 13: 243, 12: 227, 11: 212, 10: 192, 9: 175, 8: 168, 7: 144, 6: 124, 5: 108, 4: 89, 3: 57, 2: 43, 1: 33}"
21:12:01:16:28:04,19,"{20: 0, 19: 1, 18: 1, 17: 1, 16: 1, 15: 1, 14: 1, 13: 1, 12: 1, 11: 1, 10: 1, 9: 1, 8: 1, 7: 1, 6: 1, 5: 1, 4: 1, 3: 1, 2: 1, 1: 1}","{19: 453, 18: 420, 17: 391, 16: 347, 15: 314, 14: 279, 13: 243, 12: 227, 11: 212, 10: 193, 9: 174, 8: 168, 7: 145, 6: 124, 5: 107, 4: 89, 3: 57, 2: 43, 1: 34}"
